id,name,year,month,day,type,enabled,plural,link,uuid,creation_ts,editing_ts
286,the discovery of Tutankhamun's tomb,1922,11,4,history,1,0,https://en.wikipedia.org/wiki/Tutankhamun,1a0f5d61-fd06-11e6-a143-1866daec3694,2017-02-27 11:02:13,2017-02-27 11:02:13
287,the death of James Dean,1955,9,30,film,1,0,https://en.wikipedia.org/wiki/James_Dean,1e21708b-fd07-11e6-a143-1866daec3694,2017-02-27 11:09:29,2017-02-27 11:09:29
288,the death of Princess Diana,1997,8,31,history,1,0,"https://en.wikipedia.org/wiki/Diana,_Princess_of_Wales",83a7fead-fd07-11e6-a143-1866daec3694,2017-02-27 11:12:19,2017-02-27 11:12:19
289,the Louvre Pyramid,1989,,,building,1,0,https://en.wikipedia.org/wiki/Louvre_Pyramid,cf192ae7-fd08-11e6-a143-1866daec3694,2017-02-27 11:21:35,2017-02-27 11:21:35
290,the Treaty of Tordesillas,1494,6,7,history,1,0,https://en.wikipedia.org/wiki/Treaty_of_Tordesillas,0e7ecd04-fd0a-11e6-a143-1866daec3694,2017-02-27 11:30:31,2017-02-27 11:30:31
291,the first volume of the Encyclopédie,1751,,,book,1,0,https://en.wikipedia.org/wiki/Encyclop%C3%A9die,9485de17-fd0a-11e6-a143-1866daec3694,2017-02-27 11:34:16,2017-02-27 11:34:16
292,the launch of the Rubik's Cube,1980,,,pop culture,1,0,https://en.wikipedia.org/wiki/Rubik%27s_Cube,e0e359f3-fd0a-11e6-a143-1866daec3694,2017-02-27 11:36:24,2017-02-27 11:36:24
293,the launch of the Tamagotchi,1996,11,23,pop culture,1,0,https://en.wikipedia.org/wiki/Tamagotchi,6e9c195f-fd0b-11e6-a143-1866daec3694,2017-02-27 11:40:22,2017-02-27 11:40:22
294,the first 3-D color movie,1952,,,film,1,0,https://en.wikipedia.org/wiki/Bwana_Devil,4f82447b-fd0c-11e6-a143-1866daec3694,2017-02-27 11:46:39,2017-02-27 11:46:39
295,the first Tom and Jerry short film,1940,,,film,1,0,https://en.wikipedia.org/wiki/Tom_and_Jerry,46a87ff7-fd0d-11e6-a143-1866daec3694,2017-02-27 11:53:34,2017-02-27 11:53:34
296,the launch of the Voyager 1 probe,1977,9,5,science,1,0,https://en.wikipedia.org/wiki/Voyager_1,c341fd6c-fd0d-11e6-a143-1866daec3694,2017-02-27 11:57:03,2017-02-27 11:57:03
297,the invention of the ballpoint pen,1931,,,pop culture,1,0,https://en.wikipedia.org/wiki/L%C3%A1szl%C3%B3_B%C3%ADr%C3%B3,557d7a6b-fd0e-11e6-a143-1866daec3694,2017-02-27 12:01:08,2017-02-27 12:01:08
298,"the first use of the term ""Robot""",1920,,,pop culture,1,0,https://en.wikipedia.org/wiki/Robot,7c73cb42-fd0e-11e6-a143-1866daec3694,2017-02-27 12:02:14,2017-02-27 12:02:14
299,the creation of Esperanto,1887,7,26,pop culture,1,0,https://en.wikipedia.org/wiki/Esperanto,bfffb5b6-fd0e-11e6-a143-1866daec3694,2017-02-27 12:04:07,2017-02-27 12:04:07
300,the discovery of penicillin,1928,9,28,science,1,0,https://en.wikipedia.org/wiki/Penicillin,00db3e1a-fd0f-11e6-a143-1866daec3694,2017-02-27 12:05:56,2017-02-27 12:05:56
301,the shutdown of FriendFeed,2015,4,9,computer,1,0,https://en.wikipedia.org/wiki/FriendFeed,8a1ed1ce-a513-49b1-87f7-79ad2e899f87,2017-02-27 12:45:47,2017-02-27 12:53:31
302,the invention of basketball by James Naismith,1891,12,21,sport,1,0,https://en.wikipedia.org/wiki/Basketball,d7e65668-3266-4653-97c6-0b942d097aa6,2017-02-27 12:49:34,2017-02-27 15:50:05
303,"""Codex Seraphinianus"" by Luigi Serafini",1981,,,book,1,0,https://en.wikipedia.org/wiki/Codex_Seraphinianus,96b3592b-70d7-4cfd-881e-89a531e5b00b,2017-02-28 03:36:28,2017-02-28 03:36:28
304,"the release of ""Ok Computer"" by Radiohead",1997,,,music,1,0,https://en.wikipedia.org/wiki/OK_Computer,59a638ae-e2c5-47c7-9700-531484827eed,2017-03-16 21:35:18,2017-03-16 21:37:26
305,"the first episode of ""Twin Peaks""",1990,4,8,pop culture,1,0,https://en.wikipedia.org/wiki/Twin_Peaks,0ca9dc80-c41c-4f81-99f8-8c57048c8bac,2017-04-09 18:13:51,2017-04-09 18:13:51
306,the first TV appearance of The Simpsons,1987,4,19,pop culture,1,0,https://en.wikipedia.org/wiki/The_Simpsons,9339b5dc-24f3-11e7-bcc7-1866daec3694,2017-04-19 07:30:22,2017-04-19 07:30:22
307,the death of Archimedes of Syracuse,-212,,,science,1,0,https://en.wikipedia.org/wiki/Archimedes,c97ada08-2741-11e7-bcc7-1866daec3694,2017-04-22 05:55:16,2017-04-22 05:55:16
308,"the first episode of ""Happy Days""",1974,1,15,pop culture,1,0,https://en.wikipedia.org/wiki/Happy_Days,3eb71f33-2864-11e7-bcc7-1866daec3694,2017-04-23 16:34:27,2017-04-23 19:59:35
309,the Battle of Cannae,-216,8,2,history,1,0,https://en.wikipedia.org/wiki/Battle_of_Cannae,4a6b70c4-2882-11e7-bcc7-1866daec3694,2017-04-23 20:09:31,2017-04-23 20:09:31
310,Neuschwanstein Castle,1886,,,building,1,0,https://en.wikipedia.org/wiki/Neuschwanstein_Castle,762c462d-2998-11e7-bcc7-1866daec3694,2017-04-25 05:20:45,2017-04-25 05:20:45
311,the death of Frederick Barbarossa,1190,6,10,history,1,0,"https://en.wikipedia.org/wiki/Frederick_I,_Holy_Roman_Emperor",7956257d-2999-11e7-bcc7-1866daec3694,2017-04-25 05:28:00,2017-04-25 05:28:00
312,"""Fountain"" by Marcel Duchamp",1917,,,art,1,0,https://en.wikipedia.org/wiki/Fountain_(Duchamp),ea6776c3-3302-11e7-bcc7-1866daec3694,2017-05-07 04:55:27,2017-05-07 05:05:27
313,the launch of Napster,1999,6,1,computer,1,0,https://en.wikipedia.org/wiki/Napster,8c755801-3709-11e7-bcc7-1866daec3694,2017-05-12 07:53:00,2017-05-12 07:53:00
314,the opening of the Golden Gate Bridge,1937,5,27,building,1,0,https://en.wikipedia.org/wiki/Golden_Gate_Bridge,1e7766d0-4332-11e7-bb91-1866daec3694,2017-05-27 19:13:39,2017-05-27 19:14:57
315,Montgolfier brothers' hot air balloon,1783,6,4,science,1,0,https://en.wikipedia.org/wiki/Montgolfier_brothers,04e8b4b7-4900-11e7-bb91-1866daec3694,2017-06-04 04:30:08,2017-06-04 04:32:17
316,the introduction of the Julian Calendar,-45,1,1,science,1,0,https://en.wikipedia.org/wiki/Julian_calendar,082a8f9b-5761-11e7-bb91-1866daec3694,2017-06-22 11:39:51,2017-06-22 11:39:51
317,the introduction of the Gregorian calendar,1582,10,15,science,1,0,https://en.wikipedia.org/wiki/Gregorian_calendar,4c70b9ac-5761-11e7-bb91-1866daec3694,2017-06-22 11:41:46,2017-06-22 11:41:46
318,the assassination of Julius Caesar,-44,3,15,history,1,0,https://en.wikipedia.org/wiki/Assassination_of_Julius_Caesar,ed6f6697-5762-11e7-bb91-1866daec3694,2017-06-22 11:53:26,2017-06-22 11:53:26
319,Michael Johnson's two Olympic gold medals,1996,,,sport,1,1,https://en.wikipedia.org/wiki/Athletics_at_the_1996_Summer_Olympics,c8ac33ac-6c61-11e7-a424-1866daec3694,2017-07-19 05:08:09,2017-07-19 05:10:16
320,the release of Amiga 500,1987,4,1,computer,1,0,https://en.wikipedia.org/wiki/Amiga_500,aa9f6c14-7a0f-11e7-a424-1866daec3694,2017-08-05 14:55:36,2017-08-05 14:55:36
321,the Warsaw Ghetto Uprising,1943,4,19,history,1,0,https://en.wikipedia.org/wiki/Warsaw_Ghetto_Uprising,bf8e5260-7abd-11e7-a424-1866daec3694,2017-08-06 11:41:43,2017-08-06 11:41:43
322,the foundation of Göbekli Tepe,-9600,,,building,1,0,https://en.wikipedia.org/wiki/G%C3%B6bekli_Tepe,6db80694-a43b-11e7-a964-1866daec3694,2017-09-28 06:54:40,2017-09-28 06:55:58
323,"""Le Voyage dans la Lune"" by Georges Méliès",1902,9,1,film,1,0,https://en.wikipedia.org/wiki/A_Trip_to_the_Moon,8bd4de0c-0f2a-11e8-95f4-1866daec3694,2018-02-11 07:53:24,2018-02-11 07:57:44
324,the first man in outer space,1961,4,12,science,1,0,https://en.wikipedia.org/wiki/Vostok_1,a203e10d-0f2b-11e8-95f4-1866daec3694,2018-02-11 08:01:11,2018-02-11 08:01:11
325,"the first episode of ""Friends""",1994,9,22,pop culture,1,0,https://en.wikipedia.org/wiki/Friends,72223996-d472-11e8-ab03-1866daec3694,2018-10-20 10:14:24,2018-10-20 10:14:24
326,"the first episode of ""Seinfeld""",1989,7,5,pop culture,1,0,https://en.wikipedia.org/wiki/Seinfeld,bf3cc682-61d0-11e9-885e-1866daec3694,2019-04-18 07:54:40,2019-04-18 07:54:40
327,"the first episode of ""Beverly Hills, 90210""",1990,10,4,pop culture,1,0,"https://en.wikipedia.org/wiki/Beverly_Hills,_90210",87f668dc-61d1-11e9-885e-1866daec3694,2019-04-18 08:00:16,2019-04-18 08:00:16
